RK,WIDE RECEIVER,TM,BYE,FPS,VORP
51,Jayden Reed,GB,5,143.7300583,42.65005579
52,Jauan Jennings,SF,14,143.0116426,41.93164005
53,Rashee Rice,KC,10,142.6958027,41.61580016
54,Andrei Iosivas,CIN,10,138.8797859,37.79978339
55,Jordan Addison,MIN,6,138.604458,37.52445544
56,Romeo Doubs,GB,5,137.2152244,36.13522191
57,Stefon Diggs,NE,14,134.8661228,33.78612032
58,Michael Pittman,IND,11,133.8747607,32.79475817
59,Christian Kirk,HOU,6,132.6997444,31.61974182
60,Xavier Legette,CAR,14,131.331679,30.2516765
61,Jalen Coker,CAR,14,126.11581,25.03580745
62,Josh Reynolds,NYJ,9,125.9160323,24.83602981
63,Keenan Allen,LAC,12,124.9209473,23.84094479
64,DeMario Douglas,NE,14,124.0463631,22.96636061
65,Tyler Lockett,TEN,10,123.7009258,22.62092324
66,Roman Wilson,PIT,5,123.5925272,22.51252469
67,Wan'Dale Robinson,NYG,14,119.9454218,18.86541926
68,Amari Cooper,LV,8,119.2982876,18.21828503
69,Tory Horton,SEA,8,111.9752963,10.89529377
70,Rashod Bateman,BAL,7,107.4666911,6.386688552
71,Alec Pierce,IND,11,103.202365,2.122362454
72,Dyami Brown,JAX,8,101.2876071,0.207604532
73,Zay Jones,ARI,8,101.0800025,0
74,Tre' Harris,LAC,12,100.8458709,-0.23413158
75,Luther Burden,CHI,5,100.6419081,-0.438094432
76,Brandon Aiyuk,SF,14,98.38375342,-2.696249106
77,Darius Slayton,NYG,14,98.1386671,-2.941335426
78,DeAndre Hopkins,BAL,7,97.48350839,-3.596494144
79,Quentin Johnston,LAC,12,93.49524437,-7.584758162
80,Elic Ayomanor,TEN,10,89.78458634,-11.29541619
81,Arian Smith,NYJ,9,89.5178921,-11.56211043
82,Isaac TeSlaa,DET,8,84.47449007,-16.60551246
83,Tutu Atwell,LAR,8,78.59863986,-22.48136267
84,Adonai Mitchell,IND,11,75.52195581,-25.55804672
85,Michael Wilson,ARI,8,74.5707489,-26.50925363
86,Calvin Austin,PIT,5,72.36993863,-28.71006389
87,Adam Thielen,MIN,6,71.94800301,-29.13199951
88,Dont'e Thornton,LV,8,69.90180115,-31.17820138
89,Nick Westbrook-Ikhine,MIA,12,67.88171476,-33.19828777
90,Troy Franklin,DEN,12,67.49412921,-33.58587332
91,Marquise Brown,KC,10,67.31134428,-33.76865825
92,Ray-Ray McCloud,ATL,5,65.29553239,-35.78447014
93,Dontayvion Wicks,GB,5,65.09142083,-35.9885817
94,KaVontae Turpin,DAL,10,63.35898329,-37.72101924
95,Kyle Williams,NE,14,61.08109145,-39.99891108
96,Tyquan Thornton,KC,10,58.810357,-42.26964553
97,Olamide Zaccheaus,CHI,5,57.42912148,-43.65088105
98,Mack Hollins,NE,14,54.81268014,-46.26732239
99,Jermaine Burton,CIN,10,54.22457701,-46.85542552
100,Allen Lazard,NYJ,9,52.47623856,-48.60376397
101,Jalen Tolbert,DAL,10,52.37772379,-48.70227874
102,Greg Dortch,ARI,8,51.97400545,-49.10599708
103,Devaughn Vele,NO,11,51.62577727,-49.45422526
104,Jahan Dotson,PHI,9,50.63919993,-50.4408026
105,Isaiah Bond,CLE,9,50.43365183,-50.6463507
106,Tre Tucker,LV,8,49.89791079,-51.18209174
107,Jamari Thrash,CLE,9,49.72604546,-51.35395707
108,Pat Bryant,DEN,12,48.96959473,-52.1104078
109,Kayshon Boutte,NE,14,48.8043676,-52.27563493
110,Brandin Cooks,NO,11,48.4955671,-52.58443543
