RK,OVERALL PLAYER,POS RK,BYE,FPS,VORP
190,Troy Franklin,WR90,12,67.49412921,-33.58587332
191,Marquise Brown,WR91,10,67.31134428,-33.76865825
192,Bhayshul Tuten,RB63,8,64.66021359,-34.55941319
193,C.J. Stroud,QB15,6,295.9147245,-35.61982544
194,Ray-Ray McCloud,WR92,5,65.29553239,-35.78447014
195,Dontayvion Wicks,WR93,5,65.09142083,-35.9885817
196,Juwan Johnson,TE25,11,94.07345998,-37.52267857
197,KaVontae Turpin,WR94,10,63.35898329,-37.72101924
198,Jaylen Wright,RB64,12,60.56695153,-37.83402285
199,Raheem Mostert,RB65,8,60.44898268,-37.92839793
200,Roschon Johnson,RB66,5,60.43835017,-37.93690394
201,Dalton Schultz,TE26,6,92.87274917,-38.72338938
202,DJ Giddens,RB67,11,59.3623203,-38.79772783
203,Chris Rodriguez,RB68,12,59.16867112,-38.95264718
204,Kyle Williams,WR95,14,61.08109145,-39.99891108
205,Drake Maye,QB16,14,292.5595525,-40.81124939
206,Tyquan Thornton,WR96,10,58.810357,-42.26964553
207,Keaton Mitchell,RB69,7,54.92727158,-42.3457668
208,Chig Okonkwo,TE27,10,88.85897204,-42.73716651
209,Colston Loveland,TE28,5,88.80178677,-42.79435178
210,Cade Otton,TE29,9,88.46462503,-43.13151352
211,Olamide Zaccheaus,WR97,5,57.42912148,-43.65088105
212,Chris Brooks,RB70,5,52.81593083,-44.0348394
213,Jarquez Hunter,RB71,8,52.351891,-44.40607127
214,Kareem Hunt,RB72,10,52.24827396,-44.4889649
215,Miles Sanders,RB73,10,51.80916087,-44.84025537
216,Blake Corum,RB74,8,51.06307147,-45.43712689
217,Mack Hollins,WR98,14,54.81268014,-46.26732239
218,Devin Neal,RB75,11,49.5158109,-46.67493535
219,Jermaine Burton,WR99,10,54.22457701,-46.85542552
220,Jared Goff,QB17,8,289.1725922,-46.97012292
221,Allen Lazard,WR100,9,52.47623856,-48.60376397
222,Jalen Tolbert,WR101,10,52.37772379,-48.70227874
223,Greg Dortch,WR102,8,51.97400545,-49.10599708
224,Devaughn Vele,WR103,11,51.62577727,-49.45422526
225,Jahan Dotson,WR104,9,50.63919993,-50.4408026
226,Isaiah Bond,WR105,9,50.43365183,-50.6463507
227,Tre Tucker,WR106,8,49.89791079,-51.18209174
228,Jamari Thrash,WR107,9,49.72604546,-51.35395707
229,Samaje Perine,RB76,10,43.18276592,-51.74137133
230,Pat Bryant,WR108,12,48.96959473,-52.1104078
231,Kayshon Boutte,WR109,14,48.8043676,-52.27563493
232,Geno Smith,QB18,8,283.7765679,-52.58136357
233,Brandin Cooks,WR110,11,48.4955671,-52.58443543
234,Dameon Pierce,RB77,6,39.87810111,-54.38510318
235,Ty Johnson,RB78,7,38.29134111,-55.65451118
236,Justin Herbert,QB19,12,283.0843031,-55.9515943
237,Isaac Guerendo,RB79,14,36.95206609,-56.7259312
238,Pat Freiermuth,TE30,5,74.86585342,-56.73028513
239,Sam Darnold,QB20,8,282.3900665,-57.15962794
240,Mike Gesicki,TE31,10,72.59859281,-58.99754574
241,Terrance Ferguson,TE32,8,72.20805991,-59.38807864
242,Tua Tagovailoa,QB21,12,279.4146816,-60.85475643
243,Isaiah Davis,RB80,9,31.07714014,-61.42587196
244,MarShawn Lloyd,RB81,5,29.2133472,-62.91690631
