RK,RUNNING BACK,TM,BYE,FPS,VORP
83,A.J. Dillon,PHI,9,28.66794311,-63.35322958
84,Trevor Etienne,CAR,14,27.50869581,-64.28062742
85,Jaleel McLaughlin,DEN,12,25.70628967,-65.72255233
86,Emanuel Wilson,GB,5,25.4741525,-65.90826207
87,Antonio Gibson,NE,14,24.40478327,-66.76375745
88,Craig Reynolds,DET,8,23.23813933,-67.6970726
89,Devin Singletary,NYG,14,19.54279655,-70.65334683
90,Justice Hill,BAL,7,18.21483199,-71.71571848
91,George Holani,SEA,8,17.63535511,-72.17929998
92,Tyler Goodson,IND,11,16.14301197,-73.37317449
93,Hassan Haskins,LAC,12,15.56580265,-73.83494195
94,Nathan Carter,ATL,5,15.50490809,-73.8836576
95,LeQuint Allen,JAX,8,14.52377674,-74.66856267
96,Raheim Sanders,CLE,9,14.20045566,-74.92721954
97,Jordan James,SF,14,13.50355149,-75.48474288
98,DeeJay Dallas,ARI,8,12.95849798,-75.92078568
99,Zamir White,LV,8,12.56495067,-76.23562353
100,Phil Mafah,DAL,10,12.41906374,-76.35233308
101,Ty Chandler,MIN,6,12.29697036,-76.45000778
102,Kalel Mullings,TEN,10,12.23622087,-76.49860737
103,Jeremy McNichols,WSH,12,12.1166275,-76.59428207
104,Rasheen Ali,BAL,7,12.07622343,-76.62660533
105,Elijah Mitchell,KC,10,11.93087629,-76.74288303
106,Zonovan Knight,ARI,8,8.770036212,-79.2715551
107,Julius Chestnut,TEN,10,7.146339292,-80.57051263
