RK,Player,TM,BYE,RUSH YARDS,RUSH TD,TGTS,REC,RECV YARDS,RECV TD,FPS,AUC$
80,Elic Ayomanor,TEN,10,0,0,69.54277176,42.07337691,518.3440036,2.818916253,89.78458634,0
81,Arian Smith,NYJ,9,0,0,68.5125059,41.65560358,474.4573248,3.540726305,89.5178921,0
82,Isaac TeSlaa,DET,8,0,0,57.414084,38.46743628,463.1479328,3.154329775,84.47449007,0
83,Tutu Atwell,LAR,8,0,0,51.96432506,33.77681129,440.7873873,2.938582582,78.59863986,0
84,Adonai Mitchell,IND,11,0,0,58.50859308,35.57322459,434.3490723,2.383406048,75.52195581,0
85,Michael Wilson,ARI,8,0,0,58.41580078,35.22472787,406.8456069,2.712304046,74.5707489,0
86,Calvin Austin,PIT,5,0,0,59.13369,32.05045998,417.2969889,2.435834958,72.36993863,0
87,Adam Thielen,MIN,6,0,0,56.3240496,35.6531234,389.3321075,2.531371761,71.94800301,0
88,Dont'e Thornton,LV,8,0,0,52.0648128,32.1239895,399.6224294,2.312927244,69.90180115,0
89,Nick Westbrook-Ikhine,MIA,12,0,0,49.60619664,31.15269149,367.9132865,2.585673394,67.88171476,0
90,Troy Franklin,DEN,12,0,0,52.004288,30.52651706,381.276198,2.350541813,67.49412921,0
91,Marquise Brown,KC,10,0,0,44.3333625,27.93001838,379.2896495,2.569561691,67.31134428,0
92,Ray-Ray McCloud,ATL,5,0,0,47.68966944,33.81197563,341.8851481,2.366838294,65.29553239,0
93,Dontayvion Wicks,GB,5,0,0,48.0216464,29.53331254,349.0837542,2.569398191,65.09142083,0
94,KaVontae Turpin,DAL,10,0,0,46.16309275,28.94425915,344.7261265,2.40237351,63.35898329,0
95,Kyle Williams,NE,14,0,0,44.74936368,27.20761312,362.1333306,1.877325305,61.08109145,0
96,Tyquan Thornton,KC,10,0,0,41.377805,23.91637129,336.5033441,2.200306159,58.810357,0
97,Olamide Zaccheaus,CHI,5,0,0,48.37847616,28.54330093,303.1298559,2.14074757,57.42912148,0
98,Mack Hollins,NE,14,0,0,39.77721216,24.50276269,332.992545,1.54367405,54.81268014,0
99,Jermaine Burton,CIN,10,0,0,38.80690436,24.68119117,307.7744539,1.851089338,54.22457701,0
100,Allen Lazard,NYJ,9,0,0,38.91510335,23.42689222,289.5563878,1.967858946,52.47623856,0
101,Jalen Tolbert,DAL,10,0,0,38.26677425,23.57233294,292.7683751,1.885786635,52.37772379,0
102,Greg Dortch,ARI,8,19.37811118,0.142518791,38.7618865,25.19522622,256.9913075,1.814056288,51.97400545,0
103,Devaughn Vele,NO,11,0,0,41.6620148,24.45560269,298.6029088,1.589614175,51.62577727,0
104,Jahan Dotson,PHI,9,0,0,41.39529859,24.29904027,274.0931743,1.846727061,50.63919993,0
105,Isaiah Bond,CLE,9,0,0,40.938765,24.6860753,290.5551062,1.505850593,50.43365183,0
106,Tre Tucker,LV,8,0,0,38.456964,24.0356025,279.2937011,1.658456573,49.89791079,0
107,Jamari Thrash,CLE,9,0,0,42.62118,25.48746564,279.5974981,1.503760473,49.72604546,0
108,Pat Bryant,DEN,12,0,0,39.56848,23.46410864,263.9712222,1.806736365,48.96959473,0
109,Kayshon Boutte,NE,14,0,0,37.56736704,22.61555496,290.8360368,1.402164407,48.8043676,0
110,Brandin Cooks,NO,11,0,0,43.3510154,24.10316456,273.3298861,1.518499367,48.4955671,0
111,Malik Washington,MIA,12,0,0,40.3771368,23.49949362,253.0895463,1.785961515,47.77447052,0
112,Van Jefferson,TEN,10,0,0,36.68791896,22.92994935,259.5670266,1.467516758,46.22677789,0
113,Konata Mumpfield,LAR,8,18.54704352,0.282195777,30.56965491,17.45527295,246.2939014,1.431332382,45.49289992,0
